nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
public|dp_apoio_unidades_guard||t|search_path=public|f|f|t
public|dp_beneficios_padroes_guard||t|search_path=public|f|f|t
public|dp_bloquear_cadastro_legado||t|search_path=public|f|f|t
public|dp_bloquear_durante_ferias||t|search_path=public|f|f|t
public|dp_bulk_batch_finalize|_batch_id uuid|t|search_path=public|f|f|t
public|dp_bulk_claim_batches|_worker text, _limit integer, _lease_seconds integer|t|search_path=public|f|f|t
public|dp_bulk_claim_items|_worker text, _limit integer, _lease_seconds integer|t|search_path=public|f|f|t
public|dp_bulk_enqueue_pages|_batch_id uuid, _total_pages integer, _worker text|t|search_path=public|f|f|t
public|dp_bulk_increment_processed|p_batch_id uuid|t|search_path=public|f|f|t
public|dp_bulk_item_finish_failure|_item_id uuid, _worker text, _error text, _error_class text, _fatal boolean|t|search_path=public|f|f|t
public|dp_bulk_item_finish_success|_item_id uuid, _worker text, _payload jsonb|t|search_path=public|f|f|t
public|dp_bulk_item_reservar|_item_id uuid|t|search_path=public|f|f|t
public|dp_bulk_reclaim_expired|_limit integer|t|search_path=public|f|f|t
public|dp_bulk_worker_secret||t|search_path=public|f|f|t
public|dp_cadastro_solicitacoes_guard||t|search_path=public|f|f|t
public|dp_calc_data_regra|_regra_id uuid, _ano integer|t|search_path=public|f|t|t
public|dp_cancelar_troca|_troca_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_capacidade_habitual_dia_cargo|p_company uuid, p_unidade uuid, p_cargo uuid, p_data date, p_ignorar_colaborador uuid, p_turno_id uuid|t|search_path=public|f|t|t
public|dp_cargo_salarios_guard||t|search_path=public|f|f|t
public|dp_cargos_salario_base|p_company_id uuid|t|search_path=public|f|t|t
public|dp_colab_guard_user_id_link||t|search_path=public|f|f|t
public|dp_colaborador_aplicar_condicao|p_colaborador_id uuid, p_vigencia_inicio date, p_regime text, p_forma_pagamento text, p_cargo_id uuid, p_unidade_id uuid, p_setor_id uuid, p_salario_base numeric, p_valor_hora numeric, p_base_horas_mes numeric, p_base_dias_mes numeric, p_justificativa text, p_observacoes text, p_turno_padrao_id uuid, p_carga_semanal_horas numeric, p_folga_variavel boolean, p_folga_fixa_dow smallint, p_sindicato_id uuid, p_compoe_equipe_habitual boolean, p_dias jsonb, p_beneficios jsonb, p_modo_continuidade text|t|search_path=public|f|t|t
public|dp_colaborador_ativo_of|_user_id uuid|t|search_path=public|f|t|t
public|dp_colaborador_desligamento_guard||t|search_path=public|f|f|t
public|dp_colaborador_horario_ocupado|_colaborador_id uuid, _data date, _entrada time without time zone, _saida time without time zone, _vira boolean, _ignorar_convocacao_id uuid, _pendente_bloqueia boolean|t|search_path=public|f|t|t
public|dp_colaborador_of|_user_id uuid|t|search_path=public|f|t|t
public|dp_colaborador_pagamento_guard||t|search_path=public|t|t|t
public|dp_colaborador_validar_setor||t|search_path=public|f|f|t
public|dp_colaboradores_lixeira|p_company_id uuid|t|search_path=public|f|t|t
public|dp_config_dia_validar_setor||t|search_path=public|f|f|t
public|dp_config_dp_seed_on_company||t|search_path=public|f|f|t
public|dp_config_resolvida|_company_id uuid, _unidade_id uuid|t|search_path=public|f|t|t
public|dp_conv_descump_deriva||t|search_path=public|f|f|t
public|dp_conv_evento_deriva||t|search_path=public|f|f|t
public|dp_conv_grupo_modalidade_guard||t|search_path=public|f|f|t
public|dp_conv_ocor_alvo_guard||t|search_path=public|f|f|t
public|dp_conv_ocor_integridade||t|search_path=public|f|f|t
public|dp_convocacao_aplicar_nivel||t|search_path=public|f|f|t
public|dp_convocacao_atualizar_grupo|p_grupo_id uuid, p_expected_updated_at timestamp with time zone, p_competencia text, p_modalidade text, p_titulo text, p_observacao text|t|search_path=public|f|t|t
